Year,Country ISO3 code,Country name,Holding institute code,Holding institute name,Accession number,Taxon,Genus,Species,Accepted Genus,Accepted Species,Crop name,Acquisition date (YYYY/MM),Country of origin (ISO3),Country of origin,Biological status,Genebank(s) holding safety duplications - code,Genebank(s) holding safety duplications,Latitude of collecting site (decimal degrees format),Longitude of collecting site (decimal degrees format),Collecting/acquisition source,Type of germplasm storage,Status under the Multilateral System,DOI,Data owner,Data owner details,Source of information
2022,"","","LBN002","LBN002 - International Centre for Agricultural Research in Dry Areas","IG 48655","X Aegilotriticum sp.","Aegilotriticum","sp.","Aegilotriticum","","Wheat","1990","","","400) Breeding/research material","18705","Centro Internacional de Mejoramiento de Maíz y Trigo","","","","13) Seed long-term","Included","10.18730/71GE9","International Centre for Agricultural Research in Dry Areas","http://www.fao.org/wiews/data/organizations/en/?instcode=LBN002","Genesys (https://www.genesys-pgr.org)"
2022,"","","LBN002","LBN002 - International Centre for Agricultural Research in Dry Areas","IG 48656","X Aegilotriticum sp.","Aegilotriticum","sp.","Aegilotriticum","","Wheat","1990","","","400) Breeding/research material","18705","Centro Internacional de Mejoramiento de Maíz y Trigo","","","","13) Seed long-term","Included","10.18730/71GFA","International Centre for Agricultural Research in Dry Areas","http://www.fao.org/wiews/data/organizations/en/?instcode=LBN002","Genesys (https://www.genesys-pgr.org)"
2022,"","","LBN002","LBN002 - International Centre for Agricultural Research in Dry Areas","IG 47082","X Aegilotriticum sp.","Aegilotriticum","sp.","Aegilotriticum","","Wheat","1987/02","CHN","China","400) Breeding/research material","18705","Centro Internacional de Mejoramiento de Maíz y Trigo","","","","13) Seed long-term","Included","10.18730/7051T","International Centre for Agricultural Research in Dry Areas","http://www.fao.org/wiews/data/organizations/en/?instcode=LBN002","Genesys (https://www.genesys-pgr.org)"
2022,"","","LBN002","LBN002 - International Centre for Agricultural Research in Dry Areas","IG 47084","X Aegilotriticum sp.","Aegilotriticum","sp.","Aegilotriticum","","Wheat","1987/02","CHN","China","Unknown","18705","Centro Internacional de Mejoramiento de Maíz y Trigo","","","","13) Seed long-term","Included","10.18730/7053W","International Centre for Agricultural Research in Dry Areas","http://www.fao.org/wiews/data/organizations/en/?instcode=LBN002","Genesys (https://www.genesys-pgr.org)"
2022,"","","LBN002","LBN002 - International Centre for Agricultural Research in Dry Areas","IG 48288","X Aegilotriticum sp.","Aegilotriticum","sp.","Aegilotriticum","","Wheat","1990/07","JPN","Japan","400) Breeding/research material","18705","Centro Internacional de Mejoramiento de Maíz y Trigo","","","","13) Seed long-term","Included","10.18730/71714","International Centre for Agricultural Research in Dry Areas","http://www.fao.org/wiews/data/organizations/en/?instcode=LBN002","Genesys (https://www.genesys-pgr.org)"
2022,"","","LBN002","LBN002 - International Centre for Agricultural Research in Dry Areas","IG 48256","X Aegilotriticum sp.","Aegilotriticum","sp.","Aegilotriticum","","Wheat","1990/07","ARM","Armenia","400) Breeding/research material","18705","Centro Internacional de Mejoramiento de Maíz y Trigo","","","","13) Seed long-term","Included","10.18730/716AJ","International Centre for Agricultural Research in Dry Areas","http://www.fao.org/wiews/data/organizations/en/?instcode=LBN002","Genesys (https://www.genesys-pgr.org)"
2022,"","","LBN002","LBN002 - International Centre for Agricultural Research in Dry Areas","IG 48289","X Aegilotriticum sp.","Aegilotriticum","sp.","Aegilotriticum","","Wheat","1990/07","AZE","Azerbaijan","400) Breeding/research material","18705","Centro Internacional de Mejoramiento de Maíz y Trigo","","","","13) Seed long-term","Included","10.18730/71725","International Centre for Agricultural Research in Dry Areas","http://www.fao.org/wiews/data/organizations/en/?instcode=LBN002","Genesys (https://www.genesys-pgr.org)"
2022,"","","LBN002","LBN002 - International Centre for Agricultural Research in Dry Areas","IG 48280","X Aegilotriticum sp.","Aegilotriticum","sp.","Aegilotriticum","","Wheat","1990/07","AZE","Azerbaijan","400) Breeding/research material","18705","Centro Internacional de Mejoramiento de Maíz y Trigo","","","","13) Seed long-term","Included","10.18730/716X0","International Centre for Agricultural Research in Dry Areas","http://www.fao.org/wiews/data/organizations/en/?instcode=LBN002","Genesys (https://www.genesys-pgr.org)"
2022,"","","LBN002","LBN002 - International Centre for Agricultural Research in Dry Areas","IG 48295","X Aegilotriticum sp.","Aegilotriticum","sp.","Aegilotriticum","","Wheat","1990/07","RUS","Russian Federation","400) Breeding/research material","18705","Centro Internacional de Mejoramiento de Maíz y Trigo","42.0167","48.3","40) Institute, Experimental station, Research organization, Genebank","13) Seed long-term","Included","10.18730/71769","International Centre for Agricultural Research in Dry Areas","http://www.fao.org/wiews/data/organizations/en/?instcode=LBN002","Genesys (https://www.genesys-pgr.org)"
2022,"","","LBN002","LBN002 - International Centre for Agricultural Research in Dry Areas","IG 48292","X Aegilotriticum sp.","Aegilotriticum","sp.","Aegilotriticum","","Wheat","1990/07","RUS","Russian Federation","400) Breeding/research material","18705","Centro Internacional de Mejoramiento de Maíz y Trigo","42.0167","48.3","40) Institute, Experimental station, Research organization, Genebank","13) Seed long-term","Included","10.18730/71747","International Centre for Agricultural Research in Dry Areas","http://www.fao.org/wiews/data/organizations/en/?instcode=LBN002","Genesys (https://www.genesys-pgr.org)"
