Year,Country ISO3 code,Country name,Holding institute code,Holding institute name,Accession number,Taxon,Genus,Species,Accepted Genus,Accepted Species,Crop name,Acquisition date (YYYY/MM),Country of origin (ISO3),Country of origin,Biological status,Genebank(s) holding safety duplications - code,Genebank(s) holding safety duplications,Latitude of collecting site (decimal degrees format),Longitude of collecting site (decimal degrees format),Collecting/acquisition source,Type of germplasm storage,Status under the Multilateral System,DOI,Data owner,Data owner details,Source of information
2022,"KEN","Kenya","KEN212","KEN212 - Genetic Resources Research Institute","GBK-033111","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Summer wheat","1992/11","KEN","Kenya","Unknown","","","","","","12) Seed medium-term;13) Seed long-term","Included","","Genetic Resources Research Institute","http://www.fao.org/wiews/data/organizations/en/?instcode=KEN212","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"KEN","Kenya","KEN212","KEN212 - Genetic Resources Research Institute","GBK-033112","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Summer wheat","1992/11","KEN","Kenya","Unknown","","","","","","12) Seed medium-term;13) Seed long-term","Included","","Genetic Resources Research Institute","http://www.fao.org/wiews/data/organizations/en/?instcode=KEN212","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"KEN","Kenya","KEN212","KEN212 - Genetic Resources Research Institute","GBK-033113","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Summer wheat","1992/11","KEN","Kenya","Unknown","","","","","","12) Seed medium-term;13) Seed long-term","Included","","Genetic Resources Research Institute","http://www.fao.org/wiews/data/organizations/en/?instcode=KEN212","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"KEN","Kenya","KEN212","KEN212 - Genetic Resources Research Institute","GBK-033114","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Summer wheat","1992/11","KEN","Kenya","Unknown","","","","","","12) Seed medium-term;13) Seed long-term","Included","","Genetic Resources Research Institute","http://www.fao.org/wiews/data/organizations/en/?instcode=KEN212","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"KEN","Kenya","KEN212","KEN212 - Genetic Resources Research Institute","GBK-033115","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Summer wheat","1992/11","KEN","Kenya","Unknown","","","","","","12) Seed medium-term;13) Seed long-term","Included","","Genetic Resources Research Institute","http://www.fao.org/wiews/data/organizations/en/?instcode=KEN212","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"KEN","Kenya","KEN212","KEN212 - Genetic Resources Research Institute","GBK-033116","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Summer wheat","1992/11","KEN","Kenya","Unknown","","","","","","12) Seed medium-term;13) Seed long-term","Included","","Genetic Resources Research Institute","http://www.fao.org/wiews/data/organizations/en/?instcode=KEN212","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"KEN","Kenya","KEN212","KEN212 - Genetic Resources Research Institute","GBK-033117","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Summer wheat","1992/11","KEN","Kenya","Unknown","","","","","","12) Seed medium-term;13) Seed long-term","Included","","Genetic Resources Research Institute","http://www.fao.org/wiews/data/organizations/en/?instcode=KEN212","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"KEN","Kenya","KEN212","KEN212 - Genetic Resources Research Institute","GBK-033118","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Summer wheat","1992/11","KEN","Kenya","Unknown","","","","","","12) Seed medium-term;13) Seed long-term","Included","","Genetic Resources Research Institute","http://www.fao.org/wiews/data/organizations/en/?instcode=KEN212","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"KEN","Kenya","KEN212","KEN212 - Genetic Resources Research Institute","GBK-033119","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Summer wheat","1992/11","KEN","Kenya","Unknown","","","","","","12) Seed medium-term;13) Seed long-term","Included","","Genetic Resources Research Institute","http://www.fao.org/wiews/data/organizations/en/?instcode=KEN212","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"KEN","Kenya","KEN212","KEN212 - Genetic Resources Research Institute","GBK-033120","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Summer wheat","1992/11","KEN","Kenya","Unknown","","","","","","12) Seed medium-term;13) Seed long-term","Included","","Genetic Resources Research Institute","http://www.fao.org/wiews/data/organizations/en/?instcode=KEN212","FAO-WIEWS (http://www.fao.org/wiews)"
