Year,Country ISO3 code,Country name,Holding institute code,Holding institute name,Accession number,Taxon,Genus,Species,Accepted Genus,Accepted Species,Crop name,Acquisition date (YYYY/MM),Country of origin (ISO3),Country of origin,Biological status,Genebank(s) holding safety duplications - code,Genebank(s) holding safety duplications,Latitude of collecting site (decimal degrees format),Longitude of collecting site (decimal degrees format),Collecting/acquisition source,Type of germplasm storage,Status under the Multilateral System,DOI,Data owner,Data owner details,Source of information
2022,"TZA","United Republic of Tanzania","TZA016","TZA016 - National Plant Genetic Resources Centre","MB 124","Triticum sp.","Triticum","sp.","Triticum","","","2019/12","","","Unknown","","","","","","13) Seed long-term","","","National Plant Genetic Resources Centre","http://www.fao.org/wiews/data/organizations/en/?instcode=TZA016","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"TZA","United Republic of Tanzania","TZA016","TZA016 - National Plant Genetic Resources Centre","3064","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","","2001/07","TZA","United Republic of Tanzania","300) Traditional cultivar/Landrace","","","-8.5825","35.313333","","13) Seed long-term","","","National Plant Genetic Resources Centre","http://www.fao.org/wiews/data/organizations/en/?instcode=TZA016","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"TZA","United Republic of Tanzania","TZA016","TZA016 - National Plant Genetic Resources Centre","3001","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","","2001/07","TZA","United Republic of Tanzania","300) Traditional cultivar/Landrace","","","-9.973056","34.621389","","13) Seed long-term","","","National Plant Genetic Resources Centre","http://www.fao.org/wiews/data/organizations/en/?instcode=TZA016","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"TZA","United Republic of Tanzania","TZA016","TZA016 - National Plant Genetic Resources Centre","3035","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","","2001/07","TZA","United Republic of Tanzania","300) Traditional cultivar/Landrace","","","-9.348611","34.046944","","13) Seed long-term","","","National Plant Genetic Resources Centre","http://www.fao.org/wiews/data/organizations/en/?instcode=TZA016","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"TZA","United Republic of Tanzania","TZA016","TZA016 - National Plant Genetic Resources Centre","3034","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","","2001/07","TZA","United Republic of Tanzania","300) Traditional cultivar/Landrace","","","-9.348611","34.046944","","13) Seed long-term","","","National Plant Genetic Resources Centre","http://www.fao.org/wiews/data/organizations/en/?instcode=TZA016","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"TZA","United Republic of Tanzania","TZA016","TZA016 - National Plant Genetic Resources Centre","2980","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","","2004/08","TZA","United Republic of Tanzania","300) Traditional cultivar/Landrace","","","-9.475833","34.769722","","13) Seed long-term","","","National Plant Genetic Resources Centre","http://www.fao.org/wiews/data/organizations/en/?instcode=TZA016","FAO-WIEWS (http://www.fao.org/wiews)"
