Year,Country ISO3 code,Country name,Holding institute code,Holding institute name,Accession number,Taxon,Genus,Species,Accepted Genus,Accepted Species,Crop name,Acquisition date (YYYY/MM),Country of origin (ISO3),Country of origin,Biological status,Genebank(s) holding safety duplications - code,Genebank(s) holding safety duplications,Latitude of collecting site (decimal degrees format),Longitude of collecting site (decimal degrees format),Collecting/acquisition source,Type of germplasm storage,Status under the Multilateral System,DOI,Data owner,Data owner details,Source of information
2022,"GEO","Georgia","GEO013","GEO013 - Niko Ketskhoveli Institute of Botany","010073","Triticum macha var.megrelicum","Triticum","macha","Triticum","macha","wheat","","GEO","Georgia","Unknown","","","","","20) Farm or cultivated habitat","","","","Niko Ketskhoveli Institute of Botany","http://www.fao.org/wiews/data/organizations/en/?instcode=GEO013","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"GEO","Georgia","GEO013","GEO013 - Niko Ketskhoveli Institute of Botany","010082","Triticum polonicum","Triticum","polonicum","Triticum","turgidum","wheat","1961","GEO","Georgia","Unknown","","","","","20) Farm or cultivated habitat","","","","Niko Ketskhoveli Institute of Botany","http://www.fao.org/wiews/data/organizations/en/?instcode=GEO013","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"GEO","Georgia","GEO001","GEO001 - I.Lomouri Institute of Crop Science","GEO001105","Triticum macha var.paleocolchicum","Triticum","macha","Triticum","macha","wheat","2000/08","GEO","Georgia","Unknown","","","","","","","","","I.Lomouri Institute of Crop Science","http://www.fao.org/wiews/data/organizations/en/?instcode=GEO001","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"GEO","Georgia","GEO001","GEO001 - I.Lomouri Institute of Crop Science","GEO001113","Triticum timopheevii var.viticulosum","Triticum","timopheevii","Triticum","timopheevii","wheat","1997","GEO","Georgia","Unknown","","","","","","","","","I.Lomouri Institute of Crop Science","http://www.fao.org/wiews/data/organizations/en/?instcode=GEO001","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"GEO","Georgia","GEO013","GEO013 - Niko Ketskhoveli Institute of Botany","010103","Triticum aestivum var.aestivum","Triticum","aestivum","Triticum","aestivum","wheat","1992","GEO","Georgia","400) Breeding/research material","","","","","40) Institute, Experimental station, Research organization, Genebank","","","","Niko Ketskhoveli Institute of Botany","http://www.fao.org/wiews/data/organizations/en/?instcode=GEO013","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"GEO","Georgia","GEO013","GEO013 - Niko Ketskhoveli Institute of Botany","010104","Triticum aestivum var.aestivum","Triticum","aestivum","Triticum","aestivum","wheat","1992","GEO","Georgia","400) Breeding/research material","","","","","40) Institute, Experimental station, Research organization, Genebank","","","","Niko Ketskhoveli Institute of Botany","http://www.fao.org/wiews/data/organizations/en/?instcode=GEO013","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"GEO","Georgia","GEO013","GEO013 - Niko Ketskhoveli Institute of Botany","010105","Triticum aestivum var.aestivum","Triticum","aestivum","Triticum","aestivum","wheat","","GEO","Georgia","400) Breeding/research material","","","","","40) Institute, Experimental station, Research organization, Genebank","","","","Niko Ketskhoveli Institute of Botany","http://www.fao.org/wiews/data/organizations/en/?instcode=GEO013","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"GEO","Georgia","GEO013","GEO013 - Niko Ketskhoveli Institute of Botany","010106","Triticum dicoccoides","Triticum","dicoccoides","Triticum","turgidum","wheat","1992","GEO","Georgia","400) Breeding/research material","","","","","40) Institute, Experimental station, Research organization, Genebank","","","","Niko Ketskhoveli Institute of Botany","http://www.fao.org/wiews/data/organizations/en/?instcode=GEO013","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"GEO","Georgia","GEO013","GEO013 - Niko Ketskhoveli Institute of Botany","010107","Triticum spelta","Triticum","spelta","Triticum","aestivum","wheat","1992","GEO","Georgia","400) Breeding/research material","","","","","40) Institute, Experimental station, Research organization, Genebank","","","","Niko Ketskhoveli Institute of Botany","http://www.fao.org/wiews/data/organizations/en/?instcode=GEO013","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"GEO","Georgia","GEO013","GEO013 - Niko Ketskhoveli Institute of Botany","010109","Triticum spelta","Triticum","spelta","Triticum","aestivum","wheat","1984","GEO","Georgia","400) Breeding/research material","","","","","20) Farm or cultivated habitat","","","","Niko Ketskhoveli Institute of Botany","http://www.fao.org/wiews/data/organizations/en/?instcode=GEO013","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"GEO","Georgia","GEO013","GEO013 - Niko Ketskhoveli Institute of Botany","010111","Triticum durum","Triticum","durum","Triticum","turgidum","wheat","1983","GEO","Georgia","400) Breeding/research material","","","","","40) Institute, Experimental station, Research organization, Genebank","","","","Niko Ketskhoveli Institute of Botany","http://www.fao.org/wiews/data/organizations/en/?instcode=GEO013","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"GEO","Georgia","GEO013","GEO013 - Niko Ketskhoveli Institute of Botany","010112","Triticum turgidum","Triticum","turgidum","Triticum","turgidum","wheat","1983","GEO","Georgia","400) Breeding/research material","","","","","40) Institute, Experimental station, Research organization, Genebank","","","","Niko Ketskhoveli Institute of Botany","http://www.fao.org/wiews/data/organizations/en/?instcode=GEO013","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"GEO","Georgia","GEO013","GEO013 - Niko Ketskhoveli Institute of Botany","010113","Triticum durum","Triticum","durum","Triticum","turgidum","wheat","1981","GEO","Georgia","400) Breeding/research material","","","","","20) Farm or cultivated habitat","","","","Niko Ketskhoveli Institute of Botany","http://www.fao.org/wiews/data/organizations/en/?instcode=GEO013","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"GEO","Georgia","GEO013","GEO013 - Niko Ketskhoveli Institute of Botany","010114","Triticum durum","Triticum","durum","Triticum","turgidum","wheat","1981","GEO","Georgia","400) Breeding/research material","","","","","40) Institute, Experimental station, Research organization, Genebank","","","","Niko Ketskhoveli Institute of Botany","http://www.fao.org/wiews/data/organizations/en/?instcode=GEO013","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"GEO","Georgia","GEO013","GEO013 - Niko Ketskhoveli Institute of Botany","010115","Triticum durum","Triticum","durum","Triticum","turgidum","wheat","1981","GEO","Georgia","400) Breeding/research material","","","","","40) Institute, Experimental station, Research organization, Genebank","","","","Niko Ketskhoveli Institute of Botany","http://www.fao.org/wiews/data/organizations/en/?instcode=GEO013","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"GEO","Georgia","GEO013","GEO013 - Niko Ketskhoveli Institute of Botany","010116","Triticum aestivum var.aestivum","Triticum","aestivum","Triticum","aestivum","wheat","1981","GEO","Georgia","400) Breeding/research material","","","","","40) Institute, Experimental station, Research organization, Genebank","","","","Niko Ketskhoveli Institute of Botany","http://www.fao.org/wiews/data/organizations/en/?instcode=GEO013","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"GEO","Georgia","GEO013","GEO013 - Niko Ketskhoveli Institute of Botany","010118","Triticum sp.","Triticum","sp.","Triticum","","wheat","1988","GEO","Georgia","400) Breeding/research material","","","","","40) Institute, Experimental station, Research organization, Genebank","","","","Niko Ketskhoveli Institute of Botany","http://www.fao.org/wiews/data/organizations/en/?instcode=GEO013","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"GEO","Georgia","GEO013","GEO013 - Niko Ketskhoveli Institute of Botany","010119","Triticum sp.","Triticum","sp.","Triticum","","wheat","1988","GEO","Georgia","400) Breeding/research material","","","","","40) Institute, Experimental station, Research organization, Genebank","","","","Niko Ketskhoveli Institute of Botany","http://www.fao.org/wiews/data/organizations/en/?instcode=GEO013","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"GEO","Georgia","GEO013","GEO013 - Niko Ketskhoveli Institute of Botany","010120","Triticum sp.","Triticum","sp.","Triticum","","wheat","1989","GEO","Georgia","400) Breeding/research material","","","","","40) Institute, Experimental station, Research organization, Genebank","","","","Niko Ketskhoveli Institute of Botany","http://www.fao.org/wiews/data/organizations/en/?instcode=GEO013","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"GEO","Georgia","GEO013","GEO013 - Niko Ketskhoveli Institute of Botany","010121","Triticum sp.","Triticum","sp.","Triticum","","wheat","1989","GEO","Georgia","400) Breeding/research material","","","","","40) Institute, Experimental station, Research organization, Genebank","","","","Niko Ketskhoveli Institute of Botany","http://www.fao.org/wiews/data/organizations/en/?instcode=GEO013","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"GEO","Georgia","GEO013","GEO013 - Niko Ketskhoveli Institute of Botany","0101117","Triticum sp.","Triticum","sp.","Triticum","","wheat","1987","GEO","Georgia","400) Breeding/research material","","","","","40) Institute, Experimental station, Research organization, Genebank","","","","Niko Ketskhoveli Institute of Botany","http://www.fao.org/wiews/data/organizations/en/?instcode=GEO013","EURISCO (http://eurisco.ipk-gatersleben.de)"
