Year,Country ISO3 code,Country name,Holding institute code,Holding institute name,Accession number,Taxon,Genus,Species,Accepted Genus,Accepted Species,Crop name,Acquisition date (YYYY/MM),Country of origin (ISO3),Country of origin,Biological status,Genebank(s) holding safety duplications - code,Genebank(s) holding safety duplications,Latitude of collecting site (decimal degrees format),Longitude of collecting site (decimal degrees format),Collecting/acquisition source,Type of germplasm storage,Status under the Multilateral System,DOI,Data owner,Data owner details,Source of information
2022,"SDN","Sudan","SDN002","SDN002 - Agricultural Plant Genetic Resources Conservation and Research Centre","HSD3710","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Wheat","","SDN","Sudan","400) Breeding/research material","","","","","40) Institute, Experimental station, Research organization, Genebank","13) Seed long-term","Included","","Agricultural Plant Genetic Resources Conservation and Research Centre","http://www.fao.org/wiews/data/organizations/en/?instcode=SDN002","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"SDN","Sudan","SDN002","SDN002 - Agricultural Plant Genetic Resources Conservation and Research Centre","HSD3808","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Wheat","","SDN","Sudan","400) Breeding/research material","","","","","40) Institute, Experimental station, Research organization, Genebank","13) Seed long-term","Included","","Agricultural Plant Genetic Resources Conservation and Research Centre","http://www.fao.org/wiews/data/organizations/en/?instcode=SDN002","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"SDN","Sudan","SDN002","SDN002 - Agricultural Plant Genetic Resources Conservation and Research Centre","HSD3761","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Wheat","","SDN","Sudan","400) Breeding/research material","","","","","40) Institute, Experimental station, Research organization, Genebank","13) Seed long-term","Included","","Agricultural Plant Genetic Resources Conservation and Research Centre","http://www.fao.org/wiews/data/organizations/en/?instcode=SDN002","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"SDN","Sudan","SDN002","SDN002 - Agricultural Plant Genetic Resources Conservation and Research Centre","HSD3711","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Wheat","","SDN","Sudan","400) Breeding/research material","","","","","40) Institute, Experimental station, Research organization, Genebank","13) Seed long-term","Included","","Agricultural Plant Genetic Resources Conservation and Research Centre","http://www.fao.org/wiews/data/organizations/en/?instcode=SDN002","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"SDN","Sudan","SDN002","SDN002 - Agricultural Plant Genetic Resources Conservation and Research Centre","HSD3847","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Wheat","","SDN","Sudan","400) Breeding/research material","","","","","40) Institute, Experimental station, Research organization, Genebank","13) Seed long-term","Included","","Agricultural Plant Genetic Resources Conservation and Research Centre","http://www.fao.org/wiews/data/organizations/en/?instcode=SDN002","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"SDN","Sudan","SDN002","SDN002 - Agricultural Plant Genetic Resources Conservation and Research Centre","HSD3754","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Wheat","","SDN","Sudan","400) Breeding/research material","","","","","40) Institute, Experimental station, Research organization, Genebank","13) Seed long-term","Included","","Agricultural Plant Genetic Resources Conservation and Research Centre","http://www.fao.org/wiews/data/organizations/en/?instcode=SDN002","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"SDN","Sudan","SDN002","SDN002 - Agricultural Plant Genetic Resources Conservation and Research Centre","HSD3678","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Wheat","","SDN","Sudan","400) Breeding/research material","","","","","40) Institute, Experimental station, Research organization, Genebank","13) Seed long-term","Included","","Agricultural Plant Genetic Resources Conservation and Research Centre","http://www.fao.org/wiews/data/organizations/en/?instcode=SDN002","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"SDN","Sudan","SDN002","SDN002 - Agricultural Plant Genetic Resources Conservation and Research Centre","HSD3795","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Wheat","","SDN","Sudan","400) Breeding/research material","","","","","40) Institute, Experimental station, Research organization, Genebank","13) Seed long-term","Included","","Agricultural Plant Genetic Resources Conservation and Research Centre","http://www.fao.org/wiews/data/organizations/en/?instcode=SDN002","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"SDN","Sudan","SDN002","SDN002 - Agricultural Plant Genetic Resources Conservation and Research Centre","HSD3825","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Wheat","","SDN","Sudan","400) Breeding/research material","","","","","40) Institute, Experimental station, Research organization, Genebank","13) Seed long-term","Included","","Agricultural Plant Genetic Resources Conservation and Research Centre","http://www.fao.org/wiews/data/organizations/en/?instcode=SDN002","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"SDN","Sudan","SDN002","SDN002 - Agricultural Plant Genetic Resources Conservation and Research Centre","HSD3834","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Wheat","","SDN","Sudan","400) Breeding/research material","","","","","40) Institute, Experimental station, Research organization, Genebank","13) Seed long-term","Included","","Agricultural Plant Genetic Resources Conservation and Research Centre","http://www.fao.org/wiews/data/organizations/en/?instcode=SDN002","FAO-WIEWS (http://www.fao.org/wiews)"
