Year,Country ISO3 code,Country name,Holding institute code,Holding institute name,Accession number,Taxon,Genus,Species,Accepted Genus,Accepted Species,Crop name,Acquisition date (YYYY/MM),Country of origin (ISO3),Country of origin,Biological status,Genebank(s) holding safety duplications - code,Genebank(s) holding safety duplications,Latitude of collecting site (decimal degrees format),Longitude of collecting site (decimal degrees format),Collecting/acquisition source,Type of germplasm storage,Status under the Multilateral System,DOI,Data owner,Data owner details,Source of information
2022,"ESP","Spain","ESP032","ESP032 - Principado de Asturias. Servicio Regional de Investigación y Desarrollo Agroalimentario","NC086489","Triticum aestivum subsp. spelta","Triticum","aestivum","Triticum","aestivum","Escanda","","ESP","Spain","300) Traditional cultivar/Landrace","","","43.376389","-6.131111","","12) Seed medium-term","Included","","Principado de Asturias. Servicio Regional de Investigación y Desarrollo Agroalimentario","http://www.fao.org/wiews/data/organizations/en/?instcode=ESP032","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"ESP","Spain","ESP032","ESP032 - Principado de Asturias. Servicio Regional de Investigación y Desarrollo Agroalimentario","NC086490","Triticum aestivum subsp. spelta","Triticum","aestivum","Triticum","aestivum","Escanda","","ESP","Spain","300) Traditional cultivar/Landrace","","","43.376389","-6.131111","","12) Seed medium-term","Included","","Principado de Asturias. Servicio Regional de Investigación y Desarrollo Agroalimentario","http://www.fao.org/wiews/data/organizations/en/?instcode=ESP032","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"ESP","Spain","ESP032","ESP032 - Principado de Asturias. Servicio Regional de Investigación y Desarrollo Agroalimentario","NC086491","Triticum aestivum subsp. spelta","Triticum","aestivum","Triticum","aestivum","Escanda","","ESP","Spain","300) Traditional cultivar/Landrace","","","43.034444","-5.788056","","12) Seed medium-term","Included","","Principado de Asturias. Servicio Regional de Investigación y Desarrollo Agroalimentario","http://www.fao.org/wiews/data/organizations/en/?instcode=ESP032","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"ESP","Spain","ESP032","ESP032 - Principado de Asturias. Servicio Regional de Investigación y Desarrollo Agroalimentario","NC086488","Triticum aestivum subsp. spelta","Triticum","aestivum","Triticum","aestivum","Escanda","","ESP","Spain","300) Traditional cultivar/Landrace","","","43.376389","-6.131111","","12) Seed medium-term","Included","","Principado de Asturias. Servicio Regional de Investigación y Desarrollo Agroalimentario","http://www.fao.org/wiews/data/organizations/en/?instcode=ESP032","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"ESP","Spain","ESP172","ESP172 - Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","NC092677","Triticum sp.","Triticum","sp.","Triticum","","Trigo","","ESP","Spain","Unknown","","","27.995","-15.510278","","12) Seed medium-term","Included","","Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","http://www.fao.org/wiews/data/organizations/en/?instcode=ESP172","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"ESP","Spain","ESP172","ESP172 - Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","NC092985","Triticum sp.","Triticum","sp.","Triticum","","Trigo","","ESP","Spain","300) Traditional cultivar/Landrace","","","28.196944","-16.471111","20) Farm or cultivated habitat","12) Seed medium-term","Included","","Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","http://www.fao.org/wiews/data/organizations/en/?instcode=ESP172","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"ESP","Spain","ESP172","ESP172 - Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","NC092400","Triticum sp.","Triticum","sp.","Triticum","","Trigo","","ESP","Spain","300) Traditional cultivar/Landrace","","","28.151667","-16.727778","20) Farm or cultivated habitat","12) Seed medium-term","Included","","Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","http://www.fao.org/wiews/data/organizations/en/?instcode=ESP172","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"ESP","Spain","ESP172","ESP172 - Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","NC093001","Triticum sp.","Triticum","sp.","Triticum","","Trigo","","ESP","Spain","300) Traditional cultivar/Landrace","","","28.1675","-17.275556","20) Farm or cultivated habitat","12) Seed medium-term","Included","","Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","http://www.fao.org/wiews/data/organizations/en/?instcode=ESP172","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"ESP","Spain","ESP172","ESP172 - Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","NC092408","Triticum sp.","Triticum","sp.","Triticum","","Trigo","","ESP","Spain","300) Traditional cultivar/Landrace","","","28.151667","-16.727778","20) Farm or cultivated habitat","12) Seed medium-term","Included","","Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","http://www.fao.org/wiews/data/organizations/en/?instcode=ESP172","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"ESP","Spain","ESP172","ESP172 - Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","NC092416","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Trigo","","ESP","Spain","300) Traditional cultivar/Landrace","","","28.153333","-16.7275","20) Farm or cultivated habitat","12) Seed medium-term","Included","","Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","http://www.fao.org/wiews/data/organizations/en/?instcode=ESP172","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"ESP","Spain","ESP172","ESP172 - Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","NC092205","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Trigo","","ESP","Spain","300) Traditional cultivar/Landrace","","","28.324444","-16.789167","20) Farm or cultivated habitat","12) Seed medium-term","Included","","Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","http://www.fao.org/wiews/data/organizations/en/?instcode=ESP172","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"ESP","Spain","ESP200","ESP200 - Govern de les Illes Balears. Conselleria de Presidència. Direcció General d'Agricultura i Desenvolupament Rural. Institut de recerca i formació agrària i pesquera","NC095199","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Trigo","","ESP","Spain","300) Traditional cultivar/Landrace","","","","","20) Farm or cultivated habitat","12) Seed medium-term","Included","","Govern de les Illes Balears. Conselleria de Presidència. Direcció General d'Agricultura i Desenvolupament Rural. Institut de recerca i formació agrària i pesquera","http://www.fao.org/wiews/data/organizations/en/?instcode=ESP200","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"ESP","Spain","ESP200","ESP200 - Govern de les Illes Balears. Conselleria de Presidència. Direcció General d'Agricultura i Desenvolupament Rural. Institut de recerca i formació agrària i pesquera","NC095200","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Trigo","","ESP","Spain","300) Traditional cultivar/Landrace","","","","","20) Farm or cultivated habitat","12) Seed medium-term","Included","","Govern de les Illes Balears. Conselleria de Presidència. Direcció General d'Agricultura i Desenvolupament Rural. Institut de recerca i formació agrària i pesquera","http://www.fao.org/wiews/data/organizations/en/?instcode=ESP200","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"ESP","Spain","ESP172","ESP172 - Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","NC092298","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Trigo","","ESP","Spain","300) Traditional cultivar/Landrace","","","28.327778","-16.789167","20) Farm or cultivated habitat","12) Seed medium-term","Included","","Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","http://www.fao.org/wiews/data/organizations/en/?instcode=ESP172","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"ESP","Spain","ESP172","ESP172 - Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","NC092286","Triticum aestivum subsp. vulgare","Triticum","aestivum","Triticum","aestivum","Trigo","","ESP","Spain","300) Traditional cultivar/Landrace","","","28.374167","-16.614722","20) Farm or cultivated habitat","12) Seed medium-term","Included","","Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","http://www.fao.org/wiews/data/organizations/en/?instcode=ESP172","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"ESP","Spain","ESP172","ESP172 - Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","NC092798","Triticum aestivum subsp. vulgare","Triticum","aestivum","Triticum","aestivum","Trigo","","ESP","Spain","300) Traditional cultivar/Landrace","","","","","","12) Seed medium-term","Included","","Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","http://www.fao.org/wiews/data/organizations/en/?instcode=ESP172","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"ESP","Spain","ESP172","ESP172 - Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","NC092873","Triticum aestivum subsp. vulgare","Triticum","aestivum","Triticum","aestivum","Trigo","","ESP","Spain","300) Traditional cultivar/Landrace","","","","","","12) Seed medium-term","Included","","Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","http://www.fao.org/wiews/data/organizations/en/?instcode=ESP172","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"ESP","Spain","ESP172","ESP172 - Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","NC092270","Triticum aestivum subsp. vulgare","Triticum","aestivum","Triticum","aestivum","Trigo","","ESP","Spain","300) Traditional cultivar/Landrace","","","28.334722","-16.844722","20) Farm or cultivated habitat","12) Seed medium-term","Included","","Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","http://www.fao.org/wiews/data/organizations/en/?instcode=ESP172","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"ESP","Spain","ESP172","ESP172 - Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","NC092503","Triticum aestivum subsp. vulgare","Triticum","aestivum","Triticum","aestivum","Trigo","","ESP","Spain","300) Traditional cultivar/Landrace","","","28.383056","-16.614167","20) Farm or cultivated habitat","12) Seed medium-term","Included","","Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","http://www.fao.org/wiews/data/organizations/en/?instcode=ESP172","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"ESP","Spain","ESP172","ESP172 - Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","NC092292","Triticum aestivum subsp. vulgare","Triticum","aestivum","Triticum","aestivum","Trigo","","ESP","Spain","300) Traditional cultivar/Landrace","","","28.325278","-16.8425","20) Farm or cultivated habitat","12) Seed medium-term","Included","","Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","http://www.fao.org/wiews/data/organizations/en/?instcode=ESP172","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"ESP","Spain","ESP172","ESP172 - Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","NC092271","Triticum aestivum subsp. vulgare","Triticum","aestivum","Triticum","aestivum","Trigo","","ESP","Spain","300) Traditional cultivar/Landrace","","","28.375556","-16.615556","20) Farm or cultivated habitat","12) Seed medium-term","Included","","Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","http://www.fao.org/wiews/data/organizations/en/?instcode=ESP172","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"ESP","Spain","ESP172","ESP172 - Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","NC092703","Triticum aestivum subsp. vulgare","Triticum","aestivum","Triticum","aestivum","Trigo","","ESP","Spain","300) Traditional cultivar/Landrace","","","28.509444","-16.305833","20) Farm or cultivated habitat","12) Seed medium-term","Included","","Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","http://www.fao.org/wiews/data/organizations/en/?instcode=ESP172","EURISCO (http://eurisco.ipk-gatersleben.de)"
2022,"ESP","Spain","ESP172","ESP172 - Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","NC093003","Triticum aestivum subsp. vulgare","Triticum","aestivum","Triticum","aestivum","Trigo","","ESP","Spain","300) Traditional cultivar/Landrace","","","28.508333","-16.315833","20) Farm or cultivated habitat","12) Seed medium-term","Included","","Cabildo Insular de Tenerife. Centro de Conservación de la Biodiversidad Agrícola de Tenerife","http://www.fao.org/wiews/data/organizations/en/?instcode=ESP172","EURISCO (http://eurisco.ipk-gatersleben.de)"
