Year,Country ISO3 code,Country name,Holding institute code,Holding institute name,Accession number,Taxon,Genus,Species,Accepted Genus,Accepted Species,Crop name,Acquisition date (YYYY/MM),Country of origin (ISO3),Country of origin,Biological status,Genebank(s) holding safety duplications - code,Genebank(s) holding safety duplications,Latitude of collecting site (decimal degrees format),Longitude of collecting site (decimal degrees format),Collecting/acquisition source,Type of germplasm storage,Status under the Multilateral System,DOI,Data owner,Data owner details,Source of information
2022,"MRT","Mauritania","MRT002","MRT002 - Centre National de Recherche Agronomique et de Développement Agricole","BLE/ADR/0011","Triticum sp.","Triticum","sp.","Triticum","","Wheat","2017/02","MRT","Mauritania","300) Traditional cultivar/Landrace","","","20.4904","-12.3292","20) Farm or cultivated habitat","12) Seed medium-term","","","Centre National de Recherche Agronomique et de Développement Agricole","http://www.fao.org/wiews/data/organizations/en/?instcode=MRT002","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"MRT","Mauritania","MRT002","MRT002 - Centre National de Recherche Agronomique et de Développement Agricole","BLE/ADR/0012","Triticum sp.","Triticum","sp.","Triticum","","Wheat","2017/02","MRT","Mauritania","300) Traditional cultivar/Landrace","","","20.4904","-12.3292","20) Farm or cultivated habitat","12) Seed medium-term","","","Centre National de Recherche Agronomique et de Développement Agricole","http://www.fao.org/wiews/data/organizations/en/?instcode=MRT002","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"MRT","Mauritania","MRT002","MRT002 - Centre National de Recherche Agronomique et de Développement Agricole","BLE/ADR/0013","Triticum sp.","Triticum","sp.","Triticum","","Wheat","2017/02","MRT","Mauritania","300) Traditional cultivar/Landrace","","","20.4904","-12.3292","20) Farm or cultivated habitat","12) Seed medium-term","","","Centre National de Recherche Agronomique et de Développement Agricole","http://www.fao.org/wiews/data/organizations/en/?instcode=MRT002","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"MRT","Mauritania","MRT002","MRT002 - Centre National de Recherche Agronomique et de Développement Agricole","BLE/ADR/0015","Triticum sp.","Triticum","sp.","Triticum","","Wheat","2017/02","MRT","Mauritania","300) Traditional cultivar/Landrace","","","20.4904","-12.3292","20) Farm or cultivated habitat","12) Seed medium-term","","","Centre National de Recherche Agronomique et de Développement Agricole","http://www.fao.org/wiews/data/organizations/en/?instcode=MRT002","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"MRT","Mauritania","MRT002","MRT002 - Centre National de Recherche Agronomique et de Développement Agricole","BLE/ADR/0016","Triticum sp.","Triticum","sp.","Triticum","","Wheat","2017/02","MRT","Mauritania","300) Traditional cultivar/Landrace","","","20.4904","-12.3292","20) Farm or cultivated habitat","12) Seed medium-term","","","Centre National de Recherche Agronomique et de Développement Agricole","http://www.fao.org/wiews/data/organizations/en/?instcode=MRT002","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"MRT","Mauritania","MRT002","MRT002 - Centre National de Recherche Agronomique et de Développement Agricole","BLE/ADR/0017","Triticum sp.","Triticum","sp.","Triticum","","Wheat","2017/02","MRT","Mauritania","300) Traditional cultivar/Landrace","","","20.4904","-12.3292","20) Farm or cultivated habitat","12) Seed medium-term","","","Centre National de Recherche Agronomique et de Développement Agricole","http://www.fao.org/wiews/data/organizations/en/?instcode=MRT002","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"MRT","Mauritania","MRT002","MRT002 - Centre National de Recherche Agronomique et de Développement Agricole","BLE/ADR/0018","Triticum sp.","Triticum","sp.","Triticum","","Wheat","2017/02","MRT","Mauritania","300) Traditional cultivar/Landrace","","","20.4904","-12.3292","20) Farm or cultivated habitat","12) Seed medium-term","","","Centre National de Recherche Agronomique et de Développement Agricole","http://www.fao.org/wiews/data/organizations/en/?instcode=MRT002","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"MRT","Mauritania","MRT002","MRT002 - Centre National de Recherche Agronomique et de Développement Agricole","BLE/ADR/0019","Triticum sp.","Triticum","sp.","Triticum","","Wheat","2017/02","MRT","Mauritania","300) Traditional cultivar/Landrace","","","20.4904","-12.3292","20) Farm or cultivated habitat","12) Seed medium-term","","","Centre National de Recherche Agronomique et de Développement Agricole","http://www.fao.org/wiews/data/organizations/en/?instcode=MRT002","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"MRT","Mauritania","MRT002","MRT002 - Centre National de Recherche Agronomique et de Développement Agricole","BLE/ADR/0021","Triticum sp.","Triticum","sp.","Triticum","","Wheat","2017/02","MRT","Mauritania","300) Traditional cultivar/Landrace","","","20.4587","-12.3611","20) Farm or cultivated habitat","12) Seed medium-term","","","Centre National de Recherche Agronomique et de Développement Agricole","http://www.fao.org/wiews/data/organizations/en/?instcode=MRT002","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"MRT","Mauritania","MRT002","MRT002 - Centre National de Recherche Agronomique et de Développement Agricole","BLE/ADR/0022","Triticum sp.","Triticum","sp.","Triticum","","Wheat","2017/02","MRT","Mauritania","300) Traditional cultivar/Landrace","","","20.4587","-12.3611","20) Farm or cultivated habitat","12) Seed medium-term","","","Centre National de Recherche Agronomique et de Développement Agricole","http://www.fao.org/wiews/data/organizations/en/?instcode=MRT002","FAO-WIEWS (http://www.fao.org/wiews)"
