Year,Country ISO3 code,Country name,Holding institute code,Holding institute name,Accession number,Taxon,Genus,Species,Accepted Genus,Accepted Species,Crop name,Acquisition date (YYYY/MM),Country of origin (ISO3),Country of origin,Biological status,Genebank(s) holding safety duplications - code,Genebank(s) holding safety duplications,Latitude of collecting site (decimal degrees format),Longitude of collecting site (decimal degrees format),Collecting/acquisition source,Type of germplasm storage,Status under the Multilateral System,DOI,Data owner,Data owner details,Source of information
2022,"BOL","Bolivia (Plurinational State of)","BOL317","BOL317 - Instituto Nacional de Innovación Agropecuaria y Forestal","BOL 10039","Triticum sp.","Triticum","sp.","Triticum","","Trigo","1982/01","BOL","Bolivia (Plurinational State of)","300) Traditional cultivar/Landrace","","","-17.566667","-65.733333","","12) Seed medium-term","","","Estación Experimental de Toralapa","http://www.fao.org/wiews/data/organizations/en/?instcode=BOL317","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"BOL","Bolivia (Plurinational State of)","BOL317","BOL317 - Instituto Nacional de Innovación Agropecuaria y Forestal","BOL 10040","Triticum sp.","Triticum","sp.","Triticum","","Trigo","1982/01","BOL","Bolivia (Plurinational State of)","300) Traditional cultivar/Landrace","","","-17.566667","-65.733333","","12) Seed medium-term","","","Estación Experimental de Toralapa","http://www.fao.org/wiews/data/organizations/en/?instcode=BOL317","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"BOL","Bolivia (Plurinational State of)","BOL317","BOL317 - Instituto Nacional de Innovación Agropecuaria y Forestal","BOL 10041","Triticum sp.","Triticum","sp.","Triticum","","Trigo","1982/01","BOL","Bolivia (Plurinational State of)","300) Traditional cultivar/Landrace","","","-18.233333","-65.3","","12) Seed medium-term","","","Estación Experimental de Toralapa","http://www.fao.org/wiews/data/organizations/en/?instcode=BOL317","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"BOL","Bolivia (Plurinational State of)","BOL317","BOL317 - Instituto Nacional de Innovación Agropecuaria y Forestal","BOL 10042","Triticum sp.","Triticum","sp.","Triticum","","Trigo","1982/01","BOL","Bolivia (Plurinational State of)","300) Traditional cultivar/Landrace","","","-17.566667","-65.733333","","12) Seed medium-term","","","Estación Experimental de Toralapa","http://www.fao.org/wiews/data/organizations/en/?instcode=BOL317","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"BOL","Bolivia (Plurinational State of)","BOL317","BOL317 - Instituto Nacional de Innovación Agropecuaria y Forestal","BOL 10043","Triticum sp.","Triticum","sp.","Triticum","","Trigo","1982/01","BOL","Bolivia (Plurinational State of)","300) Traditional cultivar/Landrace","","","-17.566667","-65.733333","","12) Seed medium-term","","","Estación Experimental de Toralapa","http://www.fao.org/wiews/data/organizations/en/?instcode=BOL317","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"BOL","Bolivia (Plurinational State of)","BOL317","BOL317 - Instituto Nacional de Innovación Agropecuaria y Forestal","BOL 10044","Triticum sp.","Triticum","sp.","Triticum","","Trigo","1982/01","BOL","Bolivia (Plurinational State of)","300) Traditional cultivar/Landrace","","","-17.95","-65.183333","","12) Seed medium-term","","","Estación Experimental de Toralapa","http://www.fao.org/wiews/data/organizations/en/?instcode=BOL317","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"BOL","Bolivia (Plurinational State of)","BOL317","BOL317 - Instituto Nacional de Innovación Agropecuaria y Forestal","BOL 10045","Triticum sp.","Triticum","sp.","Triticum","","Trigo","1982/01","BOL","Bolivia (Plurinational State of)","300) Traditional cultivar/Landrace","","","-17.583333","-65.966667","","12) Seed medium-term","","","Estación Experimental de Toralapa","http://www.fao.org/wiews/data/organizations/en/?instcode=BOL317","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"BOL","Bolivia (Plurinational State of)","BOL317","BOL317 - Instituto Nacional de Innovación Agropecuaria y Forestal","BOL 10046","Triticum sp.","Triticum","sp.","Triticum","","Trigo","1982/01","BOL","Bolivia (Plurinational State of)","300) Traditional cultivar/Landrace","","","-17.566667","-65.733333","","12) Seed medium-term","","","Estación Experimental de Toralapa","http://www.fao.org/wiews/data/organizations/en/?instcode=BOL317","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"BOL","Bolivia (Plurinational State of)","BOL317","BOL317 - Instituto Nacional de Innovación Agropecuaria y Forestal","BOL 10047","Triticum sp.","Triticum","sp.","Triticum","","Trigo","1982/01","BOL","Bolivia (Plurinational State of)","300) Traditional cultivar/Landrace","","","-17.566667","-65.633333","","12) Seed medium-term","","","Estación Experimental de Toralapa","http://www.fao.org/wiews/data/organizations/en/?instcode=BOL317","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"BOL","Bolivia (Plurinational State of)","BOL317","BOL317 - Instituto Nacional de Innovación Agropecuaria y Forestal","BOL 10048","Triticum sp.","Triticum","sp.","Triticum","","Trigo","1982/01","BOL","Bolivia (Plurinational State of)","300) Traditional cultivar/Landrace","","","-17.566667","-65.733333","","12) Seed medium-term","","","Estación Experimental de Toralapa","http://www.fao.org/wiews/data/organizations/en/?instcode=BOL317","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"BOL","Bolivia (Plurinational State of)","BOL317","BOL317 - Instituto Nacional de Innovación Agropecuaria y Forestal","BOL 10049","Triticum sp.","Triticum","sp.","Triticum","","Trigo","1982/01","BOL","Bolivia (Plurinational State of)","300) Traditional cultivar/Landrace","","","-17.633333","-66.133333","","12) Seed medium-term","","","Estación Experimental de Toralapa","http://www.fao.org/wiews/data/organizations/en/?instcode=BOL317","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"BOL","Bolivia (Plurinational State of)","BOL317","BOL317 - Instituto Nacional de Innovación Agropecuaria y Forestal","BOL 10050","Triticum sp.","Triticum","sp.","Triticum","","Trigo","1982/01","BOL","Bolivia (Plurinational State of)","300) Traditional cultivar/Landrace","","","-17.666667","-65.25","","12) Seed medium-term","","","Estación Experimental de Toralapa","http://www.fao.org/wiews/data/organizations/en/?instcode=BOL317","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"BOL","Bolivia (Plurinational State of)","BOL317","BOL317 - Instituto Nacional de Innovación Agropecuaria y Forestal","BOL 10051","Triticum sp.","Triticum","sp.","Triticum","","Trigo","1982/01","BOL","Bolivia (Plurinational State of)","300) Traditional cultivar/Landrace","","","-17.566667","-65.733333","","12) Seed medium-term","","","Estación Experimental de Toralapa","http://www.fao.org/wiews/data/organizations/en/?instcode=BOL317","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"BOL","Bolivia (Plurinational State of)","BOL317","BOL317 - Instituto Nacional de Innovación Agropecuaria y Forestal","BOL 10052","Triticum sp.","Triticum","sp.","Triticum","","Trigo","1982/01","BOL","Bolivia (Plurinational State of)","300) Traditional cultivar/Landrace","","","-17.95","-65.183333","","12) Seed medium-term","","","Estación Experimental de Toralapa","http://www.fao.org/wiews/data/organizations/en/?instcode=BOL317","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"BOL","Bolivia (Plurinational State of)","BOL317","BOL317 - Instituto Nacional de Innovación Agropecuaria y Forestal","BOL 10053","Triticum sp.","Triticum","sp.","Triticum","","Trigo","1982/01","BOL","Bolivia (Plurinational State of)","300) Traditional cultivar/Landrace","","","-17.666667","-65.25","","12) Seed medium-term","","","Estación Experimental de Toralapa","http://www.fao.org/wiews/data/organizations/en/?instcode=BOL317","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"BOL","Bolivia (Plurinational State of)","BOL317","BOL317 - Instituto Nacional de Innovación Agropecuaria y Forestal","BOL 10054","Triticum sp.","Triticum","sp.","Triticum","","Trigo","1982/01","BOL","Bolivia (Plurinational State of)","300) Traditional cultivar/Landrace","","","-17.95","-65.183333","","12) Seed medium-term","","","Estación Experimental de Toralapa","http://www.fao.org/wiews/data/organizations/en/?instcode=BOL317","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"BOL","Bolivia (Plurinational State of)","BOL317","BOL317 - Instituto Nacional de Innovación Agropecuaria y Forestal","BOL 10055","Triticum sp.","Triticum","sp.","Triticum","","Trigo","1982/01","BOL","Bolivia (Plurinational State of)","300) Traditional cultivar/Landrace","","","-18.2","-65.166667","","12) Seed medium-term","","","Estación Experimental de Toralapa","http://www.fao.org/wiews/data/organizations/en/?instcode=BOL317","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"BOL","Bolivia (Plurinational State of)","BOL317","BOL317 - Instituto Nacional de Innovación Agropecuaria y Forestal","BOL 10056","Triticum sp.","Triticum","sp.","Triticum","","Trigo","1982/01","BOL","Bolivia (Plurinational State of)","300) Traditional cultivar/Landrace","","","-17.666667","-65.25","","12) Seed medium-term","","","Estación Experimental de Toralapa","http://www.fao.org/wiews/data/organizations/en/?instcode=BOL317","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"BOL","Bolivia (Plurinational State of)","BOL317","BOL317 - Instituto Nacional de Innovación Agropecuaria y Forestal","BOL 10057","Triticum sp.","Triticum","sp.","Triticum","","Trigo","1982/01","BOL","Bolivia (Plurinational State of)","300) Traditional cultivar/Landrace","","","-17.666667","-65.25","","12) Seed medium-term","","","Estación Experimental de Toralapa","http://www.fao.org/wiews/data/organizations/en/?instcode=BOL317","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"BOL","Bolivia (Plurinational State of)","BOL317","BOL317 - Instituto Nacional de Innovación Agropecuaria y Forestal","BOL 10058","Triticum sp.","Triticum","sp.","Triticum","","Trigo","1982/01","BOL","Bolivia (Plurinational State of)","300) Traditional cultivar/Landrace","","","","","","12) Seed medium-term","","","Estación Experimental de Toralapa","http://www.fao.org/wiews/data/organizations/en/?instcode=BOL317","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"BOL","Bolivia (Plurinational State of)","BOL317","BOL317 - Instituto Nacional de Innovación Agropecuaria y Forestal","BOL 10059","Triticum sp.","Triticum","sp.","Triticum","","Trigo","1982/01","BOL","Bolivia (Plurinational State of)","300) Traditional cultivar/Landrace","","","-17.583333","-65.966667","","12) Seed medium-term","","","Estación Experimental de Toralapa","http://www.fao.org/wiews/data/organizations/en/?instcode=BOL317","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"BOL","Bolivia (Plurinational State of)","BOL317","BOL317 - Instituto Nacional de Innovación Agropecuaria y Forestal","BOL 10060","Triticum sp.","Triticum","sp.","Triticum","","Trigo","1982/01","BOL","Bolivia (Plurinational State of)","300) Traditional cultivar/Landrace","","","-17.916667","-64.916667","","12) Seed medium-term","","","Estación Experimental de Toralapa","http://www.fao.org/wiews/data/organizations/en/?instcode=BOL317","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"BOL","Bolivia (Plurinational State of)","BOL317","BOL317 - Instituto Nacional de Innovación Agropecuaria y Forestal","BOL 10061","Triticum sp.","Triticum","sp.","Triticum","","Trigo","1982/01","BOL","Bolivia (Plurinational State of)","300) Traditional cultivar/Landrace","","","-21.7","-64.666667","","12) Seed medium-term","","","Estación Experimental de Toralapa","http://www.fao.org/wiews/data/organizations/en/?instcode=BOL317","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"BOL","Bolivia (Plurinational State of)","BOL317","BOL317 - Instituto Nacional de Innovación Agropecuaria y Forestal","BOL 10062","Triticum sp.","Triticum","sp.","Triticum","","Trigo","1982/01","BOL","Bolivia (Plurinational State of)","300) Traditional cultivar/Landrace","","","-21.7","-64.666667","","12) Seed medium-term","","","Estación Experimental de Toralapa","http://www.fao.org/wiews/data/organizations/en/?instcode=BOL317","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"BOL","Bolivia (Plurinational State of)","BOL317","BOL317 - Instituto Nacional de Innovación Agropecuaria y Forestal","BOL 10063","Triticum sp.","Triticum","sp.","Triticum","","Trigo","1982/01","BOL","Bolivia (Plurinational State of)","300) Traditional cultivar/Landrace","","","-16.933333","-67.183333","","12) Seed medium-term","","","Estación Experimental de Toralapa","http://www.fao.org/wiews/data/organizations/en/?instcode=BOL317","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"BOL","Bolivia (Plurinational State of)","BOL317","BOL317 - Instituto Nacional de Innovación Agropecuaria y Forestal","BOL 10064","Triticum sp.","Triticum","sp.","Triticum","","Trigo","1983/01","BOL","Bolivia (Plurinational State of)","300) Traditional cultivar/Landrace","","","-17.916667","-64.533333","","12) Seed medium-term","","","Estación Experimental de Toralapa","http://www.fao.org/wiews/data/organizations/en/?instcode=BOL317","FAO-WIEWS (http://www.fao.org/wiews)"
