Year,Country ISO3 code,Country name,Holding institute code,Holding institute name,Accession number,Taxon,Genus,Species,Accepted Genus,Accepted Species,Crop name,Acquisition date (YYYY/MM),Country of origin (ISO3),Country of origin,Biological status,Genebank(s) holding safety duplications - code,Genebank(s) holding safety duplications,Latitude of collecting site (decimal degrees format),Longitude of collecting site (decimal degrees format),Collecting/acquisition source,Type of germplasm storage,Status under the Multilateral System,DOI,Data owner,Data owner details,Source of information
2022,"UGA","Uganda","UGA132","UGA132 - Plant Genetic Resource Centre","UNGB4920","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Wheat","2016/10","UGA","Uganda","300) Traditional cultivar/Landrace","","","","","20) Farm or cultivated habitat","13) Seed long-term","","","Plant Genetic Resource Centre","http://www.fao.org/wiews/data/organizations/en/?instcode=UGA132","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"UGA","Uganda","UGA132","UGA132 - Plant Genetic Resource Centre","UNGB858","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Wheat","2007/12","UGA","Uganda","300) Traditional cultivar/Landrace","","","","","20) Farm or cultivated habitat","13) Seed long-term","","","Plant Genetic Resource Centre","http://www.fao.org/wiews/data/organizations/en/?instcode=UGA132","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"UGA","Uganda","UGA132","UGA132 - Plant Genetic Resource Centre","UNGB4865","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Wheat","2016/10","UGA","Uganda","300) Traditional cultivar/Landrace","","","","","20) Farm or cultivated habitat","13) Seed long-term","","","Plant Genetic Resource Centre","http://www.fao.org/wiews/data/organizations/en/?instcode=UGA132","FAO-WIEWS (http://www.fao.org/wiews)"
