Year,Country ISO3 code,Country name,Holding institute code,Holding institute name,Accession number,Taxon,Genus,Species,Accepted Genus,Accepted Species,Crop name,Acquisition date (YYYY/MM),Country of origin (ISO3),Country of origin,Biological status,Genebank(s) holding safety duplications - code,Genebank(s) holding safety duplications,Latitude of collecting site (decimal degrees format),Longitude of collecting site (decimal degrees format),Collecting/acquisition source,Type of germplasm storage,Status under the Multilateral System,DOI,Data owner,Data owner details,Source of information
2022,"ARG","Argentina","ARG1408","ARG1408 - Instituto de Investigación y Desarrollo Hortícola Semillero","TRI0001BGSJ","Triticum spelta","Triticum","spelta","Triticum","aestivum","Trigo","2011/10","","","300) Traditional cultivar/Landrace","","","","","20) Farm or cultivated habitat","12) Seed medium-term","","","Instituto de Investigación y Desarrollo Hortícola Semillero","http://www.fao.org/wiews/data/organizations/en/?instcode=ARG1408","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"ARG","Argentina","ARG1408","ARG1408 - Instituto de Investigación y Desarrollo Hortícola Semillero","TRI0002BGSJ","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Trigo","2011/10","","","300) Traditional cultivar/Landrace","","","","","20) Farm or cultivated habitat","12) Seed medium-term","","","Instituto de Investigación y Desarrollo Hortícola Semillero","http://www.fao.org/wiews/data/organizations/en/?instcode=ARG1408","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"ARG","Argentina","ARG1408","ARG1408 - Instituto de Investigación y Desarrollo Hortícola Semillero","TRI0003BGSJ","Triticum sp.","Triticum","sp.","Triticum","","Trigo criollo","2011/10","","","300) Traditional cultivar/Landrace","","","","","20) Farm or cultivated habitat","12) Seed medium-term","","","Instituto de Investigación y Desarrollo Hortícola Semillero","http://www.fao.org/wiews/data/organizations/en/?instcode=ARG1408","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"ARG","Argentina","ARG1408","ARG1408 - Instituto de Investigación y Desarrollo Hortícola Semillero","TRI0004BGSJ","Triticum sp.","Triticum","sp.","Triticum","","Trigo harinero","2011/10","","","300) Traditional cultivar/Landrace","","","","","20) Farm or cultivated habitat","12) Seed medium-term","","","Instituto de Investigación y Desarrollo Hortícola Semillero","http://www.fao.org/wiews/data/organizations/en/?instcode=ARG1408","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"ARG","Argentina","ARG1408","ARG1408 - Instituto de Investigación y Desarrollo Hortícola Semillero","TRI0005BGSJ","Triticum sp.","Triticum","sp.","Triticum","","Trigo Candeal o colorado","2011/10","","","300) Traditional cultivar/Landrace","","","","","20) Farm or cultivated habitat","12) Seed medium-term","","","Instituto de Investigación y Desarrollo Hortícola Semillero","http://www.fao.org/wiews/data/organizations/en/?instcode=ARG1408","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"ARG","Argentina","ARG1345","ARG1345 - Banco Activo de Germoplasma de Trigo y Soja","AGRINTAMJ-10001","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Trigo","1987","ARG","Argentina","500) Advanced/Improved cultivar","","","","","40) Institute, Experimental station, Research organization, Genebank","12) Seed medium-term","","","Banco Activo de Germoplasma de Trigo y Soja","http://www.fao.org/wiews/data/organizations/en/?instcode=ARG1345","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"ARG","Argentina","ARG1345","ARG1345 - Banco Activo de Germoplasma de Trigo y Soja","AGRINTAMJ-10002","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Trigo","1987","ARG","Argentina","500) Advanced/Improved cultivar","","","","","40) Institute, Experimental station, Research organization, Genebank","12) Seed medium-term","","","Banco Activo de Germoplasma de Trigo y Soja","http://www.fao.org/wiews/data/organizations/en/?instcode=ARG1345","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"ARG","Argentina","ARG1345","ARG1345 - Banco Activo de Germoplasma de Trigo y Soja","AGRINTAMJ-10003","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Trigo","1987","ARG","Argentina","500) Advanced/Improved cultivar","","","","","40) Institute, Experimental station, Research organization, Genebank","12) Seed medium-term","","","Banco Activo de Germoplasma de Trigo y Soja","http://www.fao.org/wiews/data/organizations/en/?instcode=ARG1345","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"ARG","Argentina","ARG1345","ARG1345 - Banco Activo de Germoplasma de Trigo y Soja","AGRINTAMJ-10004","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Trigo","1987","ARG","Argentina","500) Advanced/Improved cultivar","","","","","40) Institute, Experimental station, Research organization, Genebank","12) Seed medium-term","","","Banco Activo de Germoplasma de Trigo y Soja","http://www.fao.org/wiews/data/organizations/en/?instcode=ARG1345","FAO-WIEWS (http://www.fao.org/wiews)"
2022,"ARG","Argentina","ARG1345","ARG1345 - Banco Activo de Germoplasma de Trigo y Soja","AGRINTAMJ-10005","Triticum aestivum","Triticum","aestivum","Triticum","aestivum","Trigo","1987","ARG","Argentina","500) Advanced/Improved cultivar","","","","","40) Institute, Experimental station, Research organization, Genebank","12) Seed medium-term","","","Banco Activo de Germoplasma de Trigo y Soja","http://www.fao.org/wiews/data/organizations/en/?instcode=ARG1345","FAO-WIEWS (http://www.fao.org/wiews)"
